STREET,DISTRICT,WARD,FROM,TO,,,,
OAK DRIVE,GARFORTH,GARFORTH AND SWILLINGTON,OAK ROAD,STATION FIELDS,,,,
OAK ROAD,GARFORTH,GARFORTH AND SWILLINGTON,ABERFORD ROAD,OAK DRIVE,,,,
OAK TREE DRIVE,GIPTON,GIPTON AND HAREHILLS,FOUNDRY APPROACH,AMBERTON ROAD,,,,
OAKHURST MOUNT,BEESTON,BEESTON AND HOLBECK,OLD LANE,BARKLEY ROAD,,,,
OAKLEA ROAD,SCHOLES,HAREWOOD,STATION ROAD,BELLE VUE ROAD,,,,
OAKWOOD LANE,ROUNDHAY,GIPTON AND HAREHILLS,PRINCES AVENUE,OAK TREE DRIVE,,,,
OAKWOOD LANE,ROUNDHAY,GIPTON AND HAREHILLS,OAK TREE DRIVE,WYKEBECK VALLEY ROAD,,,,
OATLAND LANE,SHEEPSCAR,HYDE POATLAND ROAD,SHEEPSCAR,HYDE PARK AND WOODHOUSE,CAMP ROAD,MEANWOOD ROAD,,
ODDA LANE,HAWKSWORTH,GUISELEY AND RAWDON,MAIN STREET /OLD LANE,HILLINGS LANE,,,,
OLD FARM APPROACH,WEST PARK,KIRKSTALL,LATCHMERE DRIVE,BUTCHER HILL,,,,
OLD LANE,BEESTON,BEESTON AND HOLBECK,BEESTON ROAD,DEWSBURY ROAD,,,,
OLD LANE,BRAMHOPE,ADEL AND WHARFEDALE,MOOR ROAD,HARROGATE ROAD,,,,
OLD LANE,HAWKSWORTH,GUISELEY AND RAWDON,MAIN STREET HAWKSWORTH,MILL LANE JCT,,,,
OLD MILL LANE,STOURTON,CITY AND HUNSLET,HUNSLET ROAD,NATIONAL ROAD,,,,
OLD OAK DRIVE,WEST PARK,KIRKSTALL,SPEN LANE,BUTCHER HILL,,,,
OLD PARK ROAD,GLEDHOW,ROUNDHAY,GLEDHOW LANE,STREET LANE,,,,
OLD ROAD,FARSLEY,CALVERLEY AND FARSLEY,BRADFORD ROAD,TOWN STREET/NEW STREET,,,,
OLD RUN ROAD,HUNSLET,MIDDLETON PARK,MOOR ROAD,WEST GRANG DRIVE,,,,
OLD YORK ROAD,SEACROFT,KILLINGBECK AND SEACROFT,RING ROAD SEACROFT,YORK ROAD (A64),,,,
OLDFIELD LANE,WORTLEY,FARNLEY AND WORTLEY,WELLINGTON ROAD,UPPER WORTLEY ROAD,,,,
OSMONDTHORPE LANE,OSMONDTHORPE,BURMANTOFTS AND RICHMOND HILL,HALTON MOOR ROAD,YORK ROAD,,,,
OTLEY BYPASS,OTLEY,OTLEY AND YEADON,BRADFORD ROAD (A6038) R/BT,LEEDS ROAD (A660)R/BT,,,,
OTLEY OLD ROAD,COOKRIDGE,WEETWOOD,SPEN LANE,HOSPITAL LANE,,,,
OTLEY OLD ROAD,COOKRIDGE,WEETWOOD,TINSHILL ROAD,REYNELL APPROACH,,,,
OTLEY OLD ROAD,BRAMHOPE,OTLEY AND YEADON,HARROGATE ROAD,MOOR ROAD,,,,
OTLEY OLD ROAD,BRAMHOPE,OTLEY AND YEADON,YORK GATE,HARROGATE ROAD,,,,
OTLEY ROAD,HAREWOOD,HAREWOOD,HARROGATE ROAD,ARTHINGTON LANE,,,,
OTLEY ROAD,HEADINGLEY,WEETWOOD,NORTH LANE,RING ROAD WEETWOOD,,,,
OTLEY ROAD,HEADINGLEY,WEETWOOD,ST MICHAELS LANE HEADINGLEY,NORTH LANE,,,,
OTLEY ROAD,ADEL,WEETWOOD,LAWNSWOOD ROUNDABOUT ON RING ROAD,LEEDS ROAD,,,,
OTLEY ROAD,GUISELEY,GUISELEY AND RAWDON,BRADFORD ROAD,THE GREEN,,,,
OULTON DRIVE,OULTON,ROTHWELL,WAKEFIELD ROAD,END,,,,
OULTON LANE,ROTHWELL,ROTHWELL,GILLETT LANE,LEEDS ROAD A.639,,,,
OULTON LANE,WOODLESFORD,ROTHWELL,HOLMES LANE/CHURCH STREET,MIDLAND STREET/QUARRY HILL,,,,
OUZLEWELL GREEN,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,JUNCTION WITH TOWN STREET AND CEMETERY LANE,JUNCTION WITH LEE MOOR LANE,,,,
OVER LANE,RAWDON,HORSFORTH,LEEDS ROAD,TOWN STREET,,,,
OWLCOTES ROAD,PUDSEY,CALVERLEY AND FARSLEY,GALLOWAY LANE,CEMETERY ROAD,,,,
OXFORD DRIVE,KIPPAX,KIPPAX AND METHLEY,WESTFIELD LANE,WESTFIELD NR WESTFIELD BRIDGE,,,,
OXFORD PLACE,CENTRAL,CITY AND HUNSLET,PARK LANE,GREAT GEORGE STREET,,,,
OXFORD ROAD,GUISELEY,GUISELEY AND RAWDON,OXFORD STREET/BUTTS LANE,OTLEY ROAD,,,,
OXFORD STREET,GUISELEY,GUISELEY AND RAWDON,TOWNGATE,BUTTS LANE,,,,
PARK AVENUE,KIPPAX,KIPPAX AND METHLEY,LONGDIKE LANE,CLIFF CRESCENT,,,,
PARK LANE,METHLEY,KIPPAX AND METHLEY,WATERGATE,CHUCH SIDE,,,,
PARK LANE,LEDSHAM,KIPPAX AND METHLEY,JUNCTION WITH NEWFIELD LANE AND HOLYROOD LANE,NORTH-WEST TO END,,,,
PARK LANE,ROUNDHAY,ROUNDHAY,STREET LANE,RING ROAD SHADWELL,,,,
PARK LANE,ALLERTON BYWATER,KIPPAX AND METHLEY,JUNCTION WITH BARNSDALE ROAD AND NEWTON LANE,LEEDS ROAD,,,,
PARK LANE,ROTHWELL,ROTHWELL,PARK WEST,SPRINGHEAD ROAD,,,,
PARK LANE,WOODHOUSE,CITY AND HUNSLET,HANOVER WAY,WESTGATE,,,,
PARK LANE,WOODHOUSE,CITY AND HUNSLET,BURLEY ROAD,HANOVER WAY,,,,
PARK PARADE,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,PONTEFRACT LANE,EAST PARK PARADE,,,,
PARK ROAD,GUISELEY,GUISELEY AND RAWDON,FOUR LANE ENDS,A65,,,,
PARK ROW,CENTRAL,CITY AND HUNSLET,THE HEAPartOW,BOAR LANE,,,,
PARK STREET,CENTRAL,CITY AND HUNSLET,GREAT GEORGE STREET,PARK LANE,,,,
PARK WEST,ROTHWELL,ROTHWELL,INGRAM PARADE/MEYNELL AVENUE,PARK LAN/GILLETT LANE,,,,
PARKFIELD STREET,HUNSLET,CITY AND HUNSLET,DEWSBURY ROAD,JACK LANE,,,,
PARKSIDE,HORSFORTH,HORSFORTH,NEW ROAD SIDE,BROADWAY,,,,
PARKSIDE LANE,BEESTON,CITY AND HUNSLET,DEWSBURY ROAD,LOCKWOOD WAY,,,,
PARKWAY VALE,SEACROFT,KILLINGBECK AND SEACROFT,SCHOOL GATES PARKLANDS,OPPOSITE HOUSE 267,,,,
PARKWOOD CRESCENT,BEESTON,BEESTON AND HOLBECK,PARKWOOD ROAD,TO END,,,,
PARKWOOD ROAD,BEESTON,BEESTON AND HOLBECK,RING ROAD BEESTON PARK,NORTH NORTH WEST & SOUTH WEST TO PARKWOOD CRESCENT,,,,
PEEL STREET,MORLEY,MORLEY SOUTH,ALBERT ROAD,QUEEN STREET,,,,
PENDAS WAY,CROSSGATES,CROSS GATES AND WHINMOOR,MANSTON LANE,BARWICK ROAD,,,,
PENNINGTON LANE,ROTHWELL,ROTHWELL,ROYDS LANE,A.642 WAKEFIELD/ABERFORD,,,,
PENNINGTON STREET,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE STREET,HARTLEY CRESCENT,,,,
PEPPER ROAD,HUNSLET,CITY AND HUNSLET,PEPPER LANE,WOODHOUSE HILL ROAD,,,,
PICKERING STREET,ARMLEY,ARMLEY,ARMLEY ROAD,CANAL ROAD,,,,
PINFOLD LANE,METHLEY,KIPPAX AND METHLEY,MAIN STREET,BARNSDALE ROAD A.639,,,,
PIPER LANE,OTLEY,OTLEY AND YEADON,JUNCTION WITH ILKLEY ROAD AND WESTGATE,JUNCTION WITH SCARBOROUGH ROAD AND BRADFORD ROAD,,,,
PLANTATION GARDENS,ALWOODLEY,ALWOODLEY,WIGTON LANE,SOUTH - WEST - NORTH DIRECTION REJOIN WIGTON LANE,,,,
POLLARD LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,LEEDS & BRADFORD ROAD,CITY BOUNDARY,,,,
PONDFIELDS DRIVE,KIPPAX,KIPPAX AND METHLEY,GIBSON LANE,SOUTH EAST TO GIBSON LANE,,,,
PONTEFRACT LANE,RICHMOND HILL,BURMANTOFTS AND RICHMOND HILL,YORK ROAD,NEWSAM GREEN ROAD / THE AVENUE,,,,
PONTEFRACT ROAD,STOURTON,CITY AND HUNSLET,THWAITE GATE JUNCTION,LEEDS PONTEFRACT LINK,,,,
POOL BANK NEW ROAD,POOL,ADEL AND WHARFEDALE,HARROGATE ROAD A658,LEEDS ROAD,,,,
POOL BANK NEW ROAD,POOL,ADEL AND WHARFEDALE,LEEDS ROAD,MAIN SREET - POOL,,,,
POOL ROAD,OTLEY,OTLEY AND YEADON,JUNCTION WITH CROSS GREEN AND EAST BUSK LANE,MAIN STREET,,,,
PORTLAND CRESCENT,CENTRAL,CITY AND HUNSLET,WOODHOUSE LANE,GREAT GEORGE STREET,,,,
PORTLAND GATE,CENTRAL,CITY AND HUNSLET,,,,,,
PORTLAND GATE,CENTRAL,CITY AND HUNSLET,PORTLAND CRESCENT,COOKRIDGE STREET,,,,
PORTLAND STREET,CENTRAL,CITY AND HUNSLET,GREAT GEORGE STREET,PORTLAND CRESCENT,,,,
PORTLAND WAY,CENTRAL,CITY AND HUNSLET,CALVERLEY STREET,WOODHOUSE LANE,,,,
POTTERNEWTON LANE,CHAPEL ALLERTON,CHAPEL ALLERTON,SCOTT HALL ROAD,STAINBECK ROAD,,,,
POTTERNEWTON LANE,CHAPEL ALLERTON,CHAPEL ALLERTON,HARROGATE ROAD,SCOTT HALL ROAD,,,,
POTTERTON LANE,BARWICK,HAREWOOD,KIDDAL LANE,THE CROSS,,,,
POTTERY LANE,WOODLESFORD,ROTHWELL,CHURCH STREET/RAILWAY,ABERFORD ROAD (A.642),,,,
PRESTON LANE,GREAT PRESTON,GARFORTH AND SWILLINGTON,WOOD LANE,WHITEHOUSE LANE,,,,
PRESTON LANE,GREAT PRESTON,GARFORTH AND SWILLINGTON,LEEDS ROAD,WOOD LANE,,,,
PRIMLEY PARK AVENUE,MOORTOWN,ALWOODLEY,HARROGATE ROAD,PRIMLEY PARK ROAD,,,,
PRIMLEY PARK CRESCENT,MOORTOWN,ALWOODLEY,PRIMLEY PARK AVENUE,NURSERY LANE,,,,
PRIMLEY PARK ROAD,MOORTOWN,ALWOODLEY,NURSERY LANE,PRIMLEY PARK VIEW,,,,
PRIMLEY PARK VIEW,MOORTOWN,ALWOODLEY,PRIMLEY PARK ROAD,HARROGATE ROAD,,,,
PRIMROSE LANE,BOSTON SPA,WETHERBY,Clifford Moor Road,Boston Road,,,,
PRINCES AVENUE,ROUNDHAY,ROUNDHAY,PARK VIEW CRESCENT,WETHERBY ROAD,,,,
PUDSEY ROAD,BRAMLEY,FARNLEY AND WORTLEY,HOUGH SIDE ROAD,RING ROAD BRAMLEY,,,,
PUDSEY ROAD,BRAMLEY,FARNLEY AND WORTLEY,RING ROAD BRAMLEY,TONG ROAD,,,,
QUARRY HILL,WOODLESFORD,ROTHWELL,JUNCTION WITH MIDLAND STREET AND OULTON LANE,ABERFORD ROAD,,,,
QUEBEC STREET,CENTRAL,CITY AND HUNSLET,WELLINGTON STREET,JUNCTION WITH EAST PARADE PARK PLACE AND KING STREET,,,,
QUEEN STREET,STOURTON,CITY AND HUNSLET,WAKEFIELD ROAD,PONTEFRACT ROAD,,,,
QUEEN STREET,MORLEY,MORLEY SOUTH,JUNCTION WITH FOUNTAIN STREET AND SOUTH QUEEN STREET,JUNCTION WITH CHAPEL HILL AND BRUNSWICK LANE,,,,
QUEEN STREET,ALLERTON BYWATER,GARFORTH AND SWILLINGTON,LEEDS ROAD,JUNCTION WITH WOOD LANE AND ASTLEY LANE,,,,
QUEENS ROAD,WOODHOUSE,HEADINGLEY,BRUDENELL ROAD,ALEXANPartA ROAD,,,,
QUEENSTHORPE AVENUE,GAMBLE HILL,FARNLEY AND WORTLEY,HENCONNER LANE,BOGGARD LANE,,,,
QUEENSWAY,MORLEY,MORLEY SOUTH,QUEEN STREET,CORPORATION STREET,,,,
QUEENSWAY,YEADON,GUISELEY AND RAWDON,JUNCTION WITH TOWNGATE AND OXFORD STREET GUISELEY,HAWORTH LANE,,,,
QUEENSWOOD DRIVE,HEADINGLEY,KIRKSTALL,KIRKSTALL LANE,SPEN LANE,,,,
RAKEHILL ROAD,SCHOLES,HAREWOOD,SCHOLES LANE,BELLE VUE AVENUE,,,,
RAMPART ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE LANE,OVER WOODHOUSE MOOR,,,,
RAMSHEAD APPROACH,SEACROFT,KILLINGBECK AND SEACROFT,RAMSHEAD DRIVE,RING ROAD SEACROFT,,,,
RAMSHEAD DRIVE,SEACROFT,KILLINGBECK AND SEACROFT,NORTH PARKWAY,MONKSWOOD GATE,,,,
RAMSHEAD HILL,SEACROFT,KILLINGBECK AND SEACROFT,KENTMERE AVENUE,RAMSHEAD PartIVE,,,,
RAWDEN HILL,ARTHINGTON,ADEL AND WHARFEDALE,JUNCTION WITH HIGH WEARDLEY LANE AND BEDLAM LANE,ARTHINGTON LANE,,,,
RAWDON ROAD,HORSFORTH,HORSFORTH,LAYTON LANE,RING ROAD (A6120),,,,
RAYLANDS LANE,MIDDLETON,MIDDLETON PARK,JUNCTION WITH RAYLANDS WAY RAYLANDS GARTH AND BROOM PLACE,SOUTH-WEST TO END,,,,
RAYLANDS ROAD,MIDDLETON,MIDDLETON PARK,RAYLANDS WAY,CRANMORE DRIVE,,,,
RAYLANDS WAY,MIDDLETON,MIDDLETON PARK,CRANMORE ROAD,BROOM PLACE,,,,
RAYNEL APPROACH,LAWNSWOOD,WEETWOOD,OTLEY OLD ROAD,RAYNEL MOUNT,,,,
RAYNEL DRIVE,LAWNSWOOD,WEETWOOD,FARRAR LANE,JUNCTION WITH RAYNEL APPROACH AND RAYNEL WAY,,,,
RAYNEL MOUNT,LAWNSWOOD,WEETWOOD,RAYNEL DRIVE,RAYNEL WAY,,,,
RAYNVILLE ROAD,BRAMLEY,ARMLEY,AMEN CORNER,WATERLOO LANE,,,,
REGENT STREET,SHEEPSCAR,CITY AND HUNSLET,NEW YORK ROAD,JUNCTION WITH SHEEPSCAR STREET SOUTH CROSS STAMFORD STREET AND WHITELOCK STREET,,,,
REGENT STREET,CHAPEL ALLERTON,CHAPEL ALLERTON,HARROGATE ROAD,WOODLAND LANE,,,,
REIN ROAD,TINGLEY,MORLEY SOUTH,DEWSBURY ROAD,BRADFORD ROAD,,,,
RICHARDSHAW LANE,PUDSEY,CALVERLEY AND FARSLEY,ON RAMPS SLIP ROADS,OFF RAMPS SLIP ROADS,,,,
RICHARDSHAW LANE,PUDSEY,CALVERLEY AND FARSLEY,TOWN STREET,LIDGETT HILL,,,,
RICHMOND ROAD,FARSLEY,CALVERLEY AND FARSLEY,OLD ROAD,COTE LANE,,,,
RICHMOND STREET,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,ELLERBY ROAD,EAST STREET,,,,
RIDGE ROAD,ALLERTON BYWATER,KIPPAX AND METHLEY,BARNSDALE ROAD AT JUNCTION WITH LONDYKE LANE AND  BACK NEWTON LANE,GREAT NORTH ROAD BETWEEN MICKLEFIELD AND ABERFORD,,,,
RIGTON APPROACH,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,BURMANTOFTS STREET,HASLEWOOD PartIVE,,,,
RIGTON BANK,BARDSEY,HAREWOOD,WETHERBY ROAD,RIGTON GREEN ( JUNCTION ),,,,
RIGTON DRIVE,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,RIGTON APPROACH,TORRE ROAD,,,,
RIGTON GREEN,BARDSEY,HAREWOOD,RIGTON BANK,BRAMHAM LANE,,,,
RING ROAD ADEL,ADEL,WEETWOOD,WEETWOOD LANE JUNCTION,PARKSIDE ROAD JUNCTION,,,,
RING ROAD BEESTON,BEESTON,BEESTON AND HOLBECK,WHITEHALL ROAD,DEWSBURY ROADM621 ROUNDABOUT,,,,
RING ROAD BEESTON,BEESTON,BEESTON AND HOLBECK,RING ROAD BEESTON (SLIP ROAD),DEWSBURY ROAD,,,,
RING ROAD BEESTON,BEESTON,BEESTON AND HOLBECK,M621 Roundabout,Millshaw Road A6110 (Arlington RBT),,,,
RING ROAD BEESTON PARK,MIDDLETON,MIDDLETON PARK,DEWSBURY ROAD,MIDDLETON PARK ROAD TOWN STREET AND BODMIN APPROACH,,,,
RING ROAD BRAMLEY,BRAMLEY,PUDSEY,SWINNOW ROAD JUNCTION,PUDSEY ROAD ROUNDABOUT,,,,
RING ROAD BRAMLEY TO SPRING VALLEY CRESCENT,BRAMLEY,ARMLEY,RING ROAD BRAMLEY,SPRING VALLEY CRESCENT,,,,
RING ROAD CROSSGATES,CROSSGATES,KILLINGBECK AND SEACROFT,RING ROAD SEACROFT,STATION RD INCLUDING RBT'S,,,,
RING ROAD FARNLEY,FARNLEY,FARNLEY AND WORTLEY,RING ROAD LOWER WORTLEY & STONEBRIIDGE LOWER LANE ROUNDABOUT,RING ROAD BRAMLEY &  PUDSEY ROAD ROUNDABOUT,,,,
RING ROAD FARSLEY,FARSLEY,CALVERLEY AND FARSLEY,ROUNDABOUT JUNCTION WITH BRADFORD ROAD & STANNINGLEY BY-PASS,ROUNDABOUT JUNCTION WITH HORSFORTH NEW ROAD & RODLEY LANE,,,,
RING ROAD HALTON,HALTON,TEMPLE NEWSAM,A6120 / A63 RBT,A6120 / A63 RBT,,,,
RING ROAD HALTON,HALTON,TEMPLE NEWSAM,STATION ROAD - DUAL CARRIAGEWAY - NEAR JUNCTION WITH SILKSTONE WAY,SELBY ROAD & COLTON LANE ROUNDABOUT,,,,
RING ROAD HORSFORTH,HORSFORTH,HORSFORTH,RAILWAY BRIDGE,LOW LANE R/BOUT,,,,
RING ROAD LOWER WORTLEY,LOWER WORTLEY,FARNLEY AND WORTLEY,RING ROAD BEESTON (EAST SIDE OF BEESTON RAIL BRIDGE),RING ROAD FARNLEY & STONEBRIDGE LANE ROUNDABOUT,,,,
RING ROAD MEANWOOD,MEANWOOD,MOORTOWN,RING ROAD ADEL JUNCTION WITH PARKSIDE ROAD,RING ROAD MOORTOWN JUNTION WITH TONGUE LANE,,,,
RING ROAD MIDDLETON,MIDDLETON,MIDDLETON PARK,RING ROAD BEESTON PARK,JUNCTION BELLE ISLE ROAD,,,,
RING ROAD MIDDLETON,MIDDLETON,MIDDLETON PARK,RAYLANDS LANE,MIDDLETON ROAD,,,,
RING ROAD MOORTOWN,MOORTOWN,MOORTOWN,RING ROAD MEANWOOD AT JUNCTION WITH TONGUE LANE,RING ROAD SHADWELL AT JUNCTION WITH ROUNDHAY PARK LANE AND PARK LANE,,,,
RING ROAD SEACROFT,SEACROFT,KILLINGBECK AND SEACROFT,& INCLUDING JUNCTION WITH BARWICK ROAD & RING ROAD CROSSGATES,JUNCTION WITH RING ROAD SHADWELL & WETHERBY ROAD,,,,
RING ROAD SEACROFT SERVICE ROAD,SEACROFT,KILLINGBECK AND SEACROFT,Ramshead Approach,Limewood Appeoach,,,,
RING ROAD SHADWELL,SHADWELL,ROUNDHAY,RING ROAD MOORTOWN JUNCTION WITH PARK LANE & ROUNDHAY PARK LANE,RING ROAD SEACROFT JUNCTION WITH WETHERBY ROAD,,,,
RING ROAD WEETWOOD,WEETWOOD,WEETWOOD,RING ROAD WEST PARK & JUNCTION WITH OTLEY ROAD,RING ROAD ADEL & JUNCTION WITH WEETWOOD LANE,,,,
RING ROAD WEST PARK,WEST PARK,WEETWOOD,HORSFORTH WARD BOUNDARY,RING ROAD WEETWOOD AT OTLEY ROAD ROUNDABOUT,,,,
RINGWAY,GARFORTH,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD,LIDGETT LANE,,,,
ROBIN LANE,PUDSEY,PUDSEY,JUNCTION WITH LITTLEMOOR ROAD RADCLIFFE LANE AND SHARP ROW,JUNCTION WITH LONGFIELD ROAD AND CLAREMONT GROVE,,,,
ROCK LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,LEEDS & BRADFORD ROAD,RODLEY LANE,,,,
RODLEY LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,LEEDS & BRADFORD ROAD,NORTH WEST COAL HILL LANE/TOWN STREET,,,,
RODLEY LANE,RODLEY,CALVERLEY AND FARSLEY,TOWN STREET/BAGLEY LANE  (RODLEY),TOWNGATE   (CALVERLEY),,,,
ROKER LANE,PUDSEY,PUDSEY,TONG ROAD,FARTOWN,,,,
ROMAN AVENUE,ROUNDHAY,ROUNDHAY,STREET LANE,RING ROAD SHADWELL,,,,
ROMAN ROAD,ABERFORD,HAREWOOD,BUNKERS HILL,ABERFORD ROAD,,,,
ROOKWOOD AVENUE,OSMONDTHORPE,BURMANTOFTS AND RICHMOND HILL,OSMONDTHORPE LANE,YORK ROAD,,,,
ROOKWOOD CRESCENT,OSMONDTHORPE,BURMANTOFTS AND RICHMOND HILL,ROOKWOOD AVENUE,ROOKWOOD ROAD,,,,
ROOKWOOD ROAD,OSMONDTHORPE,BURMANTOFTS AND RICHMOND HILL,ROOKWOOD AVENUE,ROOKWOOD STREET,,,,
ROOKWOOD STREET,OSMONDTHORPE,BURMANTOFTS AND RICHMOND HILL,OSMONDTHORPE LANE,ROOKWOOD ROAD,,,,
ROSEVILLE ROAD,SHEEPSCAR,GIPTON AND HAREHILLS,BAYSWATER PLACE,CROSS STAMFORD STREET,,,,
ROSEVILLE ROAD,SHEEPSCAR,GIPTON AND HAREHILLS,ROUNDHAY ROAD,BAYSWATER PLACE,,,,
ROSSEFIELD APPROACH,BRAMLEY,BRAMLEY AND STANNINGLEY,STANNINGLEY ROAD,ROSSEFIELD GROVE,,,,
ROSSEFIELD GROVE,BRAMLEY,BRAMLEY AND STANNINGLEY,HENLEY CRESCENT,END,,,,
ROTHWELL LANE,OULTON,ROTHWELL,OULTON LANE,A.639,,,,
ROUNDHAY PARK LANE,SHADWELL,HAREWOOD,RING ROAD SHADWELL,SHADWELL LANE,,,,
ROUNDHAY ROAD,LEEDS,GIPTON AND HAREHILLS,HAREHILLS LANE,HAREHILLS ROAD,,,,
ROUNDHAY ROAD,LEEDS,GIPTON AND HAREHILLS,BARRACK ROAD,PRINCE'S AVENUE,,,,
ROUNDHAY ROAD,LEEDS,GIPTON AND HAREHILLS,BARRACK ROAD,NORTH STREET,,,,
ROXHOLME GROVE,HAREHILLS,CHAPEL ALLERTON,HAREHILLS LANE,GLEDHOW PARK AVENUE,,,,
ROYAL PARK ROAD,WOODHOUSE,HEADINGLEY,CARDIGAN ROAD,HYDE PARK ROAD,,,,
ROYDS FARM ROAD,BEESTON,BEESTON AND HOLBECK,GELDERD ROAD,SOUTH EASTERLY INC. SOUTH WESTERLY SPUR,,,,
ROYDS LANE,ROTHWELL,ROTHWELL,MARSH STREET,PENNIGTON LANE,,,,
ROYSTON HILL,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,BRADFORD ROAD,LEEDS BOUNDARY,,,,
RUDGATE,WALTON,WETHERBY,LCC BOUNDARY,STREET 7 THORPE ARCH TRADING ESTATE,,,,
RUFFORD AVENUE,YEADON,OTLEY AND YEADON,HARPER LANE,GREEN LANE,,,,
RUSHTON STREET,CALVERLEY,CALVERLEY AND FARSLEY,CAPEL STREET,THORNHILL STREET,,,,
SACKVILLE STREET,SHEEPSCAR,CHAPEL ALLERTON,MEANWOOD ROAD,SHEEPSCAR STREET NORTH,,,,
SALISBURY STREET,CALVERLEY,CALVERLEY AND FARSLEY,VICTORIA STREET,CARR ROAD,,,,
SANDBECK LANE,WETHERBY,WETHERBY,DEIGHTON ROAD,ACCESS TO HIGHWAY DEPARTMENT,,,,
SANDBECK WAY,WETHERBY,WETHERBY,SANDBECK LANE,AUDBY LANE,,,,
SANDHILLS,THORNER,HAREWOOD,THORNER LANE THORNER,MAIN STREET THORNER,,,,
SANDLEAS WAY,MANSTON,CROSS GATES AND WHINMOOR,MANSTON LANE,SMEATON APPROACH,,,,
SAVILE ROAD,METHLEY,KIPPAX AND METHLEY,CHURCH LANE,PINFOLD LANE,,,,
SAVINS MILL WAY,KIRKSTALL,KIRKSTALL,A65 COMMERCIAL ROAD,B6157 BRIDGE ROAD,,,,
SAXTON LANE,CENTRAL,BURMANTOFTS AND RICHMOND HILL,MARSH LANE,UPPER CROSS STREET,,,,
SAYNER LANE,HUNSLET,CITY AND HUNSLET,CLARENCE ROAD,JUNCTION SAYNER ROAD CARLISLE ROAD,,,,
SAYNER ROAD,HUNSLET,CITY AND HUNSLET,HUNSLET ROAD,CARLISLE ROAD,,,,
SCHOLES LANE,SCHOLES,HAREWOOD,A.64,MAIN STREET SCHOLES,,,,
SCHOOL LANE,WALTON,WETHERBY,WETHERBY ROAD,MAIN STREET,,,,
SCHOOL LANE,COLTON,TEMPLE NEWSAM,SELBY ROAD,END,,,,
SCHOOL LANE,COLLINGHAM,HAREWOOD,LEEDS ROAD A58,JEWITT LANE,,,,
SCOTCHMAN LANE,MORLEY,MORLEY SOUTH,BRUNTCLIFFE ROAD,BOUNDARY,,,,
SCOTLAND LANE,HORSFORTH,OTLEY AND YEADON,BROWNBERRIE LANE,JUNCTION WITH DEAN HEAD AND DEAN LANE,,,,
SCOTT GREEN,GILDERSOME,MORLEY NORTH,GILDERSOME LANE,CHURCH STREET,,,,
SCOTT HALL ROAD,CHAPELTOWN,CHAPEL ALLERTON,BUSLINGTHORPE LANE,HARROGATE ROAD,,,,
SEACROFT CRESCENT,SEACROFT,KILLINGBECK AND SEACROFT,NORTH PARKWAY,SOUTH EAST TO END OF CARRIAGEWAY,,,,
SEFTON TERRACE,BEESTON,CITY AND HUNSLET,LODGE LANE,TEMPEST ROAD,,,,
SELBY ROAD,HALTON,TEMPLE NEWSAM,YORK ROAD,TEMPLENEWSAM ROAD,,,,
SELBY ROAD,GARFORTH,GARFORTH AND SWILLINGTON,A642 RBT,A656 RBT,,,,
SELBY ROAD,SWILLINGTON,GARFORTH AND SWILLINGTON,RING ROAD HALTON,GARFORTH BRIDGE ROUNDABOUT,,,,
SELBY ROAD,MICKLEFIELD,KIPPAX AND METHLEY,A656 RBT,A1,,,,
SELBY ROAD,HALTON,TEMPLE NEWSAM,HALTON RING ROAD,TEMPLENEWSAM ROAD,,,,
SERVIA HILL,SHEEPSCAR,HYDE PARK AND WOODHOUSE,SERVIA ROAD,ST MARKS ROAD,,,,
SERVIA ROAD,SHEEPSCAR,HYDE PARK AND WOODHOUSE,SERVIA HILL,CAMBRIDGE ROAD,,,,
SEVERN ROAD,HUNSLET,CITY AND HUNSLET,LOW ROAD,NORTH EAST TO SEVERN WAY,,,,
SEVERN WAY,HUNSLET,CITY AND HUNSLET,GIBRALTER ISLAND ROAD,SEVERN ROAD,,,,
SHADWELL LANE,ALWOODLEY,ALWOODLEY,HARROGATE ROAD,HOLYWELL LANE,,,,
SHADWELL LANE,ALWOODLEY,ALWOODLEY,Main Street,Roundhay Park Lane,,,,
SHADWELL WALK,MOORTOWN,MOORTOWN,RING ROAD MOORTOWN,CHELWOOD GROVE,,,,
SHAFTESBURY AVENUE,ROUNDHAY,ROUNDHAY,STREET LANE,DEVONSHIRE CRESCENT,,,,
SHARP LANE,ROBIN HOOD,MIDDLETON PARK,LEEDS ROAD (A61),DOLPHIN,,,,
SHARP LANE,HUNSLET,MIDDLETON PARK,TOWN STREET,RING ROAD MIDDLETON,,,,
